index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
114,resnet_sweep,conv_2d_nhwc_hwcf_q_8x28x28x128x3x3x128_i8xi8xi32_stride1,8,28,28,128,3,3,128,1,i8,i32,109.0,432.1378,16.9696,True
115,resnet_sweep,conv_2d_nhwc_hwcf_q_8x14x14x256x3x3x256_i8xi8xi32_stride2,8,14,14,256,3,3,256,2,i8,i32,173.0,457.9959,10.6918,True
116,resnet_sweep,conv_2d_nhwc_hwcf_q_8x14x14x1024x1x1x512_i8xi8xi32_stride2,8,14,14,1024,1,1,512,2,i8,i32,93.0,161.8581,17.6792,True
117,resnet_sweep,conv_2d_nhwc_hwcf_q_8x14x14x256x3x3x256_i8xi8xi32_stride1,8,14,14,256,3,3,256,1,i8,i32,167.0,680.0964,11.076,True
118,resnet_sweep,conv_2d_nhwc_hwcf_q_8x7x7x512x3x3x512_i8xi8xi32_stride2,8,7,7,512,3,3,512,2,i8,i32,274.0,439.284,6.7507,True
119,resnet_sweep,conv_2d_nhwc_hwcf_q_8x7x7x2048x1x1x1024_i8xi8xi32_stride2,8,7,7,2048,1,1,1024,2,i8,i32,136.0,237.8009,12.0895,True
120,resnet_sweep,conv_2d_nhwc_hwcf_q_8x7x7x512x3x3x512_i8xi8xi32_stride1,8,7,7,512,3,3,512,1,i8,i32,277.0,529.4068,6.6776,True
121,resnet_sweep,conv_2d_nhwc_hwcf_q_16x112x112x64x7x7x3_i8xi8xi32_stride2,16,112,112,64,7,7,3,2,i8,i32,4500.0,66.7365,0.8392,True
122,resnet_sweep,conv_2d_nhwc_hwcf_q_16x56x56x64x3x3x64_i8xi8xi32_stride1,16,56,56,64,3,3,64,1,i8,i32,136.0,226.585,27.2013,True
123,resnet_sweep,conv_2d_nhwc_hwcf_q_16x28x28x128x3x3x128_i8xi8xi32_stride2,16,28,28,128,3,3,128,2,i8,i32,147.0,274.8533,25.1658,True
124,resnet_sweep,conv_2d_nhwc_hwcf_q_16x28x28x512x1x1x256_i8xi8xi32_stride2,16,28,28,512,1,1,256,2,i8,i32,105.0,85.0441,31.3175,True
125,resnet_sweep,conv_2d_nhwc_hwcf_q_16x28x28x128x3x3x128_i8xi8xi32_stride1,16,28,28,128,3,3,128,1,i8,i32,149.0,439.7118,24.828,True
126,resnet_sweep,conv_2d_nhwc_hwcf_q_16x14x14x256x3x3x256_i8xi8xi32_stride2,16,14,14,256,3,3,256,2,i8,i32,164.0,494.0744,22.5572,True
127,resnet_sweep,conv_2d_nhwc_hwcf_q_16x14x14x1024x1x1x512_i8xi8xi32_stride2,16,14,14,1024,1,1,512,2,i8,i32,122.0,166.1457,26.9536,True
128,resnet_sweep,conv_2d_nhwc_hwcf_q_16x14x14x256x3x3x256_i8xi8xi32_stride1,16,14,14,256,3,3,256,1,i8,i32,169.0,762.8108,21.8898,True
129,resnet_sweep,conv_2d_nhwc_hwcf_q_16x7x7x512x3x3x512_i8xi8xi32_stride2,16,7,7,512,3,3,512,2,i8,i32,346.0,610.2486,10.6918,True
130,resnet_sweep,conv_2d_nhwc_hwcf_q_16x7x7x2048x1x1x1024_i8xi8xi32_stride2,16,7,7,2048,1,1,1024,2,i8,i32,212.0,280.3128,15.511,True
131,resnet_sweep,conv_2d_nhwc_hwcf_q_16x7x7x512x3x3x512_i8xi8xi32_stride1,16,7,7,512,3,3,512,1,i8,i32,336.0,799.2637,11.01,True
132,resnet_sweep,conv_2d_nhwc_hwcf_q_32x112x112x64x7x7x3_i8xi8xi32_stride2,32,112,112,64,7,7,3,2,i8,i32,8800.0,66.742,0.8583,True
133,resnet_sweep,conv_2d_nhwc_hwcf_q_32x56x56x64x3x3x64_i8xi8xi32_stride1,32,56,56,64,3,3,64,1,i8,i32,168.0,226.8411,44.0402,True
134,resnet_sweep,conv_2d_nhwc_hwcf_q_32x28x28x128x3x3x128_i8xi8xi32_stride2,32,28,28,128,3,3,128,2,i8,i32,223.0,276.3672,33.1783,True
135,resnet_sweep,conv_2d_nhwc_hwcf_q_32x28x28x512x1x1x256_i8xi8xi32_stride2,32,28,28,512,1,1,256,2,i8,i32,125.0,85.1885,52.6133,True
136,resnet_sweep,conv_2d_nhwc_hwcf_q_32x28x28x128x3x3x128_i8xi8xi32_stride1,32,28,28,128,3,3,128,1,i8,i32,217.0,443.5992,34.0956,True
137,resnet_sweep,conv_2d_nhwc_hwcf_q_32x14x14x256x3x3x256_i8xi8xi32_stride2,32,14,14,256,3,3,256,2,i8,i32,234.0,514.3326,31.6186,True
138,resnet_sweep,conv_2d_nhwc_hwcf_q_32x14x14x1024x1x1x512_i8xi8xi32_stride2,32,14,14,1024,1,1,512,2,i8,i32,180.0,168.3758,36.537,True
139,resnet_sweep,conv_2d_nhwc_hwcf_q_32x14x14x256x3x3x256_i8xi8xi32_stride1,32,14,14,256,3,3,256,1,i8,i32,230.0,812.2014,32.1685,True
140,resnet_sweep,conv_2d_nhwc_hwcf_q_32x7x7x512x3x3x512_i8xi8xi32_stride2,32,7,7,512,3,3,512,2,i8,i32,508.0,757.6913,14.5645,True
141,resnet_sweep,conv_2d_nhwc_hwcf_q_32x7x7x2048x1x1x1024_i8xi8xi32_stride2,32,7,7,2048,1,1,1024,2,i8,i32,272.0,307.8282,24.1789,True
142,resnet_sweep,conv_2d_nhwc_hwcf_q_32x7x7x512x3x3x512_i8xi8xi32_stride1,32,7,7,512,3,3,512,1,i8,i32,508.0,1072.6461,14.5645,True
143,resnet_sweep,conv_2d_nhwc_hwcf_q_48x112x112x64x7x7x3_i8xi8xi32_stride2,48,112,112,64,7,7,3,2,i8,i32,13100.0,66.7439,0.8648,True
144,resnet_sweep,conv_2d_nhwc_hwcf_q_48x56x56x64x3x3x64_i8xi8xi32_stride1,48,56,56,64,3,3,64,1,i8,i32,187.0,226.9266,59.3483,True
145,resnet_sweep,conv_2d_nhwc_hwcf_q_48x28x28x128x3x3x128_i8xi8xi32_stride2,48,28,28,128,3,3,128,2,i8,i32,189.0,276.8755,58.7203,True
146,resnet_sweep,conv_2d_nhwc_hwcf_q_48x28x28x512x1x1x256_i8xi8xi32_stride2,48,28,28,512,1,1,256,2,i8,i32,144.0,85.2367,68.507,True
147,resnet_sweep,conv_2d_nhwc_hwcf_q_48x28x28x128x3x3x128_i8xi8xi32_stride1,48,28,28,128,3,3,128,1,i8,i32,189.0,444.9103,58.7203,True
148,resnet_sweep,conv_2d_nhwc_hwcf_q_48x14x14x256x3x3x256_i8xi8xi32_stride2,48,14,14,256,3,3,256,2,i8,i32,202.0,521.4596,54.9412,True
149,resnet_sweep,conv_2d_nhwc_hwcf_q_48x14x14x1024x1x1x512_i8xi8xi32_stride2,48,14,14,1024,1,1,512,2,i8,i32,133.0,169.1326,74.173,True
