index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
168,llm_sweep,attention_32x16384x64x64x16384xf8E4M3FNUZ,32,16384,64,64,16384,f8E4M3FNUZ,10200.0,16384.0,215.5905,True
169,llm_sweep,attention_32x16384x128x128x16384xf8E4M3FNUZ,32,16384,128,128,16384,f8E4M3FNUZ,35000.0,16384.0,125.6585,True
170,llm_sweep,attention_48x1024x64x64x1024xf8E4M3FNUZ,48,1024,64,64,1024,f8E4M3FNUZ,149.0,1024.0,86.4759,True
171,llm_sweep,attention_48x1024x128x128x1024xf8E4M3FNUZ,48,1024,128,128,1024,f8E4M3FNUZ,305.0,1024.0,84.4912,True
172,llm_sweep,attention_48x2048x64x64x2048xf8E4M3FNUZ,48,2048,64,64,2048,f8E4M3FNUZ,342.0,2048.0,150.7006,True
173,llm_sweep,attention_48x2048x128x128x2048xf8E4M3FNUZ,48,2048,128,128,2048,f8E4M3FNUZ,941.0,2048.0,109.5422,True
174,llm_sweep,attention_48x4096x64x64x4096xf8E4M3FNUZ,48,4096,64,64,4096,f8E4M3FNUZ,1130.0,4096.0,182.4411,True
175,llm_sweep,attention_48x4096x128x128x4096xf8E4M3FNUZ,48,4096,128,128,4096,f8E4M3FNUZ,3470.0,4096.0,118.8233,True
176,llm_sweep,attention_48x8192x64x64x8192xf8E4M3FNUZ,48,8192,64,64,8192,f8E4M3FNUZ,4140.0,8192.0,199.1869,True
177,llm_sweep,attention_48x8192x128x128x8192xf8E4M3FNUZ,48,8192,128,128,8192,f8E4M3FNUZ,13300.0,8192.0,124.0051,True
178,llm_sweep,attention_48x16384x64x64x16384xf8E4M3FNUZ,48,16384,64,64,16384,f8E4M3FNUZ,15200.0,16384.0,217.0089,True
179,llm_sweep,attention_48x16384x128x128x16384xf8E4M3FNUZ,48,16384,128,128,16384,f8E4M3FNUZ,52400.0,16384.0,125.8983,True
180,llm_sweep,attention_64x1024x64x64x1024xf8E4M3FNUZ,64,1024,64,64,1024,f8E4M3FNUZ,156.0,1024.0,110.1274,True
181,llm_sweep,attention_64x1024x128x128x1024xf8E4M3FNUZ,64,1024,128,128,1024,f8E4M3FNUZ,352.0,1024.0,97.6129,True
182,llm_sweep,attention_64x2048x64x64x2048xf8E4M3FNUZ,64,2048,64,64,2048,f8E4M3FNUZ,436.0,2048.0,157.6135,True
183,llm_sweep,attention_64x2048x128x128x2048xf8E4M3FNUZ,64,2048,128,128,2048,f8E4M3FNUZ,1180.0,2048.0,116.4737,True
184,llm_sweep,attention_64x4096x64x64x4096xf8E4M3FNUZ,64,4096,64,64,4096,f8E4M3FNUZ,1350.0,4096.0,203.6133,True
185,llm_sweep,attention_64x4096x128x128x4096xf8E4M3FNUZ,64,4096,128,128,4096,f8E4M3FNUZ,4430.0,4096.0,124.0984,True
186,llm_sweep,attention_64x8192x64x64x8192xf8E4M3FNUZ,64,8192,64,64,8192,f8E4M3FNUZ,5230.0,8192.0,210.2317,True
187,llm_sweep,attention_64x8192x128x128x8192xf8E4M3FNUZ,64,8192,128,128,8192,f8E4M3FNUZ,17500.0,8192.0,125.6585,True
188,llm_sweep,attention_64x16384x64x64x16384xf8E4M3FNUZ,64,16384,64,64,16384,f8E4M3FNUZ,19800.0,16384.0,222.1236,True
189,llm_sweep,attention_64x16384x128x128x16384xf8E4M3FNUZ,64,16384,128,128,16384,f8E4M3FNUZ,69700.0,16384.0,126.1993,True
190,llm_sweep,attention_96x1024x64x64x1024xf8E4M3FNUZ,96,1024,64,64,1024,f8E4M3FNUZ,195.0,1024.0,132.1528,True
191,llm_sweep,attention_96x1024x128x128x1024xf8E4M3FNUZ,96,1024,128,128,1024,f8E4M3FNUZ,521.0,1024.0,98.9244,True
192,llm_sweep,attention_96x2048x64x64x2048xf8E4M3FNUZ,96,2048,64,64,2048,f8E4M3FNUZ,609.0,2048.0,169.2598,True
193,llm_sweep,attention_96x2048x128x128x2048xf8E4M3FNUZ,96,2048,128,128,2048,f8E4M3FNUZ,1810.0,2048.0,113.8997,True
194,llm_sweep,attention_96x4096x64x64x4096xf8E4M3FNUZ,96,4096,64,64,4096,f8E4M3FNUZ,2130.0,4096.0,193.576,True
195,llm_sweep,attention_96x4096x128x128x4096xf8E4M3FNUZ,96,4096,128,128,4096,f8E4M3FNUZ,6590.0,4096.0,125.1341,True
196,llm_sweep,attention_96x8192x64x64x8192xf8E4M3FNUZ,96,8192,64,64,8192,f8E4M3FNUZ,7670.0,8192.0,215.0283,True
197,llm_sweep,attention_96x8192x128x128x8192xf8E4M3FNUZ,96,8192,128,128,8192,f8E4M3FNUZ,26100.0,8192.0,126.3806,True
198,llm_sweep,attention_96x16384x64x64x16384xf8E4M3FNUZ,96,16384,64,64,16384,f8E4M3FNUZ,29500.0,16384.0,223.6295,True
199,llm_sweep,attention_96x16384x128x128x16384xf8E4M3FNUZ,96,16384,128,128,16384,f8E4M3FNUZ,104000.0,16384.0,126.8667,True
200,llm_sweep,attention_128x1024x64x64x1024xf8E4M3FNUZ,128,1024,64,64,1024,f8E4M3FNUZ,242.0,1024.0,141.9824,True
201,llm_sweep,attention_128x1024x128x128x1024xf8E4M3FNUZ,128,1024,128,128,1024,f8E4M3FNUZ,645.0,1024.0,106.5418,True
202,llm_sweep,attention_128x2048x64x64x2048xf8E4M3FNUZ,128,2048,64,64,2048,f8E4M3FNUZ,706.0,2048.0,194.6727,True
203,llm_sweep,attention_128x2048x128x128x2048xf8E4M3FNUZ,128,2048,128,128,2048,f8E4M3FNUZ,2330.0,2048.0,117.9734,True
204,llm_sweep,attention_128x4096x64x64x4096xf8E4M3FNUZ,128,4096,64,64,4096,f8E4M3FNUZ,2700.0,4096.0,203.6133,True
205,llm_sweep,attention_128x4096x128x128x4096xf8E4M3FNUZ,128,4096,128,128,4096,f8E4M3FNUZ,8590.0,4096.0,127.999,True
