mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
213.23563158512115,161.1350697469339,126,llm,attention_2x8192x64x64x8192xf8E4M3FNUZ,2,8192,64,64,8192,8192.0,fp8,True
252.91255116462708,271.7124018541444,127,llm,attention_2x8192x128x128x8192xf8E4M3FNUZ,2,8192,128,128,8192,8192.0,fp8,True
465.0540053844452,295.53331845488276,128,llm,attention_2x16384x64x64x16384xf8E4M3FNUZ,2,16384,64,64,16384,16384.0,fp8,True
609.2016696929932,451.21003539357423,129,llm,attention_2x16384x128x128x16384xf8E4M3FNUZ,2,16384,128,128,16384,16384.0,fp8,True
36.88963130116463,29.106873290059184,130,llm,attention_4x1024x64x64x1024xf8E4M3FNUZ,4,1024,64,64,1024,1024.0,fp8,True
43.95468905568123,48.85675895191969,131,llm,attention_4x1024x128x128x1024xf8E4M3FNUZ,4,1024,128,128,1024,1024.0,fp8,True
62.96271085739136,68.21445959860229,132,llm,attention_4x2048x64x64x2048xf8E4M3FNUZ,4,2048,64,64,2048,2048.0,fp8,True
75.10063797235489,114.37898297431268,133,llm,attention_4x2048x128x128x2048xf8E4M3FNUZ,4,2048,128,128,2048,2048.0,fp8,True
113.82398009300232,150.93365361115312,134,sdxl_unet,attention_4x4096x64x64x4096xf8E4M3FNUZ,4,4096,64,64,4096,4096.0,fp8,True
136.6243213415146,251.4906425929266,135,llm,attention_4x4096x128x128x4096xf8E4M3FNUZ,4,4096,128,128,4096,4096.0,fp8,True
237.07139492034912,289.86827685005295,136,llm,attention_4x8192x64x64x8192xf8E4M3FNUZ,4,8192,64,64,8192,8192.0,fp8,True
304.86324429512024,450.821658707251,137,llm,attention_4x8192x128x128x8192xf8E4M3FNUZ,4,8192,128,128,8192,8192.0,fp8,True
636.6135478019714,431.78142829832615,138,llm,attention_4x16384x64x64x16384xf8E4M3FNUZ,4,16384,64,64,16384,16384.0,fp8,True
967.309832572937,568.3347727642863,139,llm,attention_4x16384x128x128x16384xf8E4M3FNUZ,4,16384,128,128,16384,16384.0,fp8,True
37.18589246273041,57.749955850926995,140,sdxl_unet,attention_8x1024x64x64x1024xf8E4M3FNUZ,8,1024,64,64,1024,1024.0,fp8,True
44.8722243309021,95.71549795097164,141,llm,attention_8x1024x128x128x1024xf8E4M3FNUZ,8,1024,128,128,1024,1024.0,fp8,True
63.40525299310684,135.47670242612014,142,llm,attention_8x2048x64x64x2048xf8E4M3FNUZ,8,2048,64,64,2048,2048.0,fp8,True
77.74742692708969,220.97026053493718,143,llm,attention_8x2048x128x128x2048xf8E4M3FNUZ,8,2048,128,128,2048,2048.0,fp8,True
126.37415528297424,271.8889656754771,144,llm,attention_8x4096x64x64x4096xf8E4M3FNUZ,8,4096,64,64,4096,4096.0,fp8,True
163.5562777519226,420.15798892312586,145,llm,attention_8x4096x128x128x4096xf8E4M3FNUZ,8,4096,128,128,4096,4096.0,fp8,True
322.96839356422424,425.54923704839064,146,llm,attention_8x8192x64x64x8192xf8E4M3FNUZ,8,8192,64,64,8192,8192.0,fp8,True
494.8950707912445,555.426641256543,147,llm,attention_8x8192x128x128x8192xf8E4M3FNUZ,8,8192,128,128,8192,8192.0,fp8,True
1158.8681936264038,474.3902860666744,148,llm,attention_8x16384x64x64x16384xf8E4M3FNUZ,8,16384,64,64,16384,16384.0,fp8,True
1922.8535890579224,571.812453133622,149,llm,attention_8x16384x128x128x16384xf8E4M3FNUZ,8,16384,128,128,16384,16384.0,fp8,True
37.82062605023384,113.56150716001815,150,llm,attention_16x1024x64x64x1024xf8E4M3FNUZ,16,1024,64,64,1024,1024.0,fp8,True
46.78354039788246,183.61018680811085,151,llm,attention_16x1024x128x128x1024xf8E4M3FNUZ,16,1024,128,128,1024,1024.0,fp8,True
69.92601603269577,245.68637195013505,152,llm,attention_16x2048x64x64x2048xf8E4M3FNUZ,16,2048,64,64,2048,2048.0,fp8,True
90.64571559429169,379.0552939290135,153,llm,attention_16x2048x128x128x2048xf8E4M3FNUZ,16,2048,128,128,2048,2048.0,fp8,True
167.63845086097717,409.9266986962864,154,llm,attention_16x4096x64x64x4096xf8E4M3FNUZ,16,4096,64,64,4096,4096.0,fp8,True
255.2274465560913,538.495978103182,155,llm,attention_16x4096x128x128x4096xf8E4M3FNUZ,16,4096,128,128,4096,4096.0,fp8,True
584.5444202423096,470.24297457164266,156,llm,attention_16x8192x64x64x8192xf8E4M3FNUZ,16,8192,64,64,8192,8192.0,fp8,True
979.6973466873169,561.148619772124,157,llm,attention_16x8192x128x128x8192xf8E4M3FNUZ,16,8192,128,128,8192,8192.0,fp8,True
2095.2842235565186,524.7553603537842,158,llm,attention_16x16384x64x64x16384xf8E4M3FNUZ,16,16384,64,64,16384,16384.0,fp8,True
3600.080966949463,610.8260552304598,159,llm,attention_16x16384x128x128x16384xf8E4M3FNUZ,16,16384,128,128,16384,16384.0,fp8,True
41.8982207775116,205.0190779607174,160,llm,attention_32x1024x64x64x1024xf8E4M3FNUZ,32,1024,64,64,1024,1024.0,fp8,True
56.75389990210533,302.7081700752462,161,llm,attention_32x1024x128x128x1024xf8E4M3FNUZ,32,1024,128,128,1024,1024.0,fp8,True
93.26595067977905,368.40602725394746,162,llm,attention_32x2048x64x64x2048xf8E4M3FNUZ,32,2048,64,64,2048,2048.0,fp8,True
144.50976252555847,475.535185547385,163,llm,attention_32x2048x128x128x2048xf8E4M3FNUZ,32,2048,128,128,2048,2048.0,fp8,True
