index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
57,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride2,32,28,28,128,3,3,128,2,f32,f32,242.1538,107.9312,30.5539,True
58,resnet_sweep,conv_2d_nchw_fchw_32x28x28x512x1x1x256_f32xf32xf32_stride2,32,28,28,512,1,1,256,2,f32,f32,207.8215,28.3801,31.6458,True
59,resnet_sweep,conv_2d_nchw_fchw_32x28x28x128x3x3x128_f32xf32xf32_stride1,32,28,28,128,3,3,128,1,f32,f32,159.1841,262.5488,46.4792,True
60,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride2,32,14,14,256,3,3,256,2,f32,f32,200.1921,193.3151,36.9583,True
61,resnet_sweep,conv_2d_nchw_fchw_32x14x14x1024x1x1x512_f32xf32xf32_stride2,32,14,14,1024,1,1,512,2,f32,f32,171.3435,55.8753,38.383,True
62,resnet_sweep,conv_2d_nchw_fchw_32x14x14x256x3x3x256_f32xf32xf32_stride1,32,14,14,256,3,3,256,1,f32,f32,162.6809,430.9008,45.4801,True
63,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride2,32,7,7,512,3,3,512,2,f32,f32,476.5193,251.4388,15.5267,True
64,resnet_sweep,conv_2d_nchw_fchw_32x7x7x2048x1x1x1024_f32xf32xf32_stride2,32,7,7,2048,1,1,1024,2,f32,f32,360.5684,99.3584,18.2397,True
65,resnet_sweep,conv_2d_nchw_fchw_32x7x7x512x3x3x512_f32xf32xf32_stride1,32,7,7,512,3,3,512,1,f32,f32,443.697,412.0292,16.6752,True
66,resnet_sweep,conv_2d_nchw_fchw_48x112x112x64x7x7x3_f32xf32xf32_stride2,48,112,112,64,7,7,3,2,f32,f32,2322.6738,17.2362,4.8777,True
67,resnet_sweep,conv_2d_nchw_fchw_48x56x56x64x3x3x64_f32xf32xf32_stride1,48,56,56,64,3,3,64,1,f32,f32,495.9901,138.6929,22.3757,True
68,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride2,48,28,28,128,3,3,128,2,f32,f32,493.9238,108.2416,22.4693,True
69,resnet_sweep,conv_2d_nchw_fchw_48x28x28x512x1x1x256_f32xf32xf32_stride2,48,28,28,512,1,1,256,2,f32,f32,719.8652,28.4015,13.704,True
70,resnet_sweep,conv_2d_nchw_fchw_48x28x28x128x3x3x128_f32xf32xf32_stride1,48,28,28,128,3,3,128,1,f32,f32,476.5193,264.3934,23.29,True
71,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride2,48,14,14,256,3,3,256,2,f32,f32,622.5109,197.3706,17.828,True
72,resnet_sweep,conv_2d_nchw_fchw_48x14x14x1024x1x1x512_f32xf32xf32_stride2,48,14,14,1024,1,1,512,2,f32,f32,436.8623,56.2091,22.5815,True
73,resnet_sweep,conv_2d_nchw_fchw_48x14x14x256x3x3x256_f32xf32xf32_stride1,48,14,14,256,3,3,256,1,f32,f32,455.6179,451.584,24.3584,True
74,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride2,48,7,7,512,3,3,512,2,f32,f32,634.8292,281.5362,17.4821,True
75,resnet_sweep,conv_2d_nchw_fchw_48x7x7x2048x1x1x1024_f32xf32xf32_stride2,48,7,7,2048,1,1,1024,2,f32,f32,402.1327,103.7409,24.5317,True
76,resnet_sweep,conv_2d_nchw_fchw_48x7x7x512x3x3x512_f32xf32xf32_stride1,48,7,7,512,3,3,512,1,f32,f32,538.9849,499.5398,20.5908,True
