index,tag,name,M,N,K,dtype,A,B,mean_microseconds,arithmetic_intensity,tflops,ok
284,llama13bmatvec,hipblaslt,6912,1,5120,fp16,T,N,17.38193,0.9996601271269172,4.071980499288629,True
285,llama70bmatvecbf16,hipblaslt,1280,1,8192,bf16,T,N,10.32943,0.9990974949386541,2.03026885317002,True
286,llama13bskinnybf16,hipblaslt,3456,32,5120,bf16,T,N,17.239459999999998,31.511283337132436,65.69011326340849,True
287,llama70bskinny,hipblaslt,5120,4,8192,fp16,T,N,24.35133,3.9949283136642935,13.779301582295505,True
288,llama70bmatvec,hipblaslt,32000,1,8192,fp16,T,N,152.1513,0.9998467031910147,3.4458331936697224,True
289,llama70bskinny,hipblaslt,8192,16,1024,fp16,T,N,7.39682,15.723608445297504,36.290656795758174,True
290,llama70bmatvec,hipblaslt,8192,1,4096,fp16,T,N,23.03344,0.999633923123856,2.9135406608826124,True
291,llama13bskinnybf16,hipblaslt,5120,4,13824,bf16,T,N,30.442130000000002,3.9957221724426972,18.600243806855826,True
292,llama70bskinny,hipblaslt,14336,4,8192,fp16,T,N,52.90567,3.9969331567575104,17.75847647331562,True
293,llama13bmatvec,hipblaslt,5120,1,1280,fp16,T,N,6.494479999999999,0.9990243902439024,2.0182062305219204,True
294,llama13bmatvec,hipblaslt,32000,1,5120,fp16,T,N,111.45098,0.9997734888189395,2.9401266817034717,True
295,gpt4compute,hipblaslt,8192,2048,8192,fp16,N,N,329.16447,1365.3333333333333,835.0776951838089,True
296,unet,hipblaslt,8192,5120,640,fp16,N,T,107.34295,531.9480519480519,500.1454795121617,True
297,llama13bskinnybf16,hipblaslt,5120,2,6912,bf16,T,N,21.205009999999998,1.998640970404962,6.67567522958018,True
298,llama13bskinny,hipblaslt,27648,8,5120,fp16,T,N,62.03593,7.985212569316081,36.509876776248866,True
299,llama13bskinnybf16,hipblaslt,15360,2,5120,bf16,T,N,42.44565,1.9989588755856325,7.411190546027684,True
300,llama70bskinny,hipblaslt,8000,4,8192,fp16,T,N,32.53177,3.996050777942112,16.11618427155977,True
301,llama70bskinnybf16,hipblaslt,10240,32,8192,bf16,T,N,38.08829,31.77657098525989,140.95432270653262,True
302,unet,hipblaslt,2048,1280,1280,fp16,T,N,23.733939999999997,487.6190476190476,282.7548396937045,True
303,llama13bskinny,hipblaslt,5120,8,3456,fp16,T,N,12.46655,7.969101285524874,22.710013596383924,True
304,unet,hipblaslt,2048,10240,1280,bf16,N,T,97.59528999999999,731.4285714285714,550.0992025332371,True
305,llama70bskinny,hipblaslt,8192,32,2048,fp16,T,N,10.69749,31.386973180076627,100.3732486779609,True
306,llama70bskinny,hipblaslt,10240,16,8192,fp16,T,N,49.153839999999995,15.943947061113274,54.6112889654196,True
307,llama13bskinny,hipblaslt,32000,2,5120,fp16,T,N,111.39161999999999,1.9990941604585422,5.8833869190519,True
308,llama70bmemory,hipblaslt,2,1280,8192,bf16,N,T,10.566889999999999,1.9963932348783935,3.9692889771730377,True
309,llama13bskinny,hipblaslt,5120,4,6912,fp16,T,N,21.31187,3.9945675730343573,13.284405357202347,True
310,unet,hipblaslt,128,1280,2048,fp16,N,N,10.15133,110.10752688172043,66.10844490327868,True
311,llama70bskinnybf16,hipblaslt,8192,2,4096,bf16,T,N,18.91354,1.9985362283483776,7.0963832259851936,True
312,llama13bskinnybf16,hipblaslt,5120,8,6912,bf16,T,N,21.60869,7.978299763375079,26.203857799801842,True
313,llama70bskinny,hipblaslt,8000,32,8192,fp16,T,N,34.82324,31.748984590580722,120.4455415406493,True
314,llama13bmatvec,hipblaslt,3840,1,5120,fp16,T,N,16.408360000000002,0.9995444784277998,2.3964369382436757,True
315,gpt4compute,hipblaslt,8192,8192,1024,fp16,N,N,214.00915,819.2,642.2106413300553,True
316,llama13bmatvecbf16,hipblaslt,7680,1,5120,bf16,T,N,27.022740000000002,0.9996745850959974,2.910260025445236,True
317,llama13bskinnybf16,hipblaslt,3456,2,5120,bf16,T,N,16.01655,1.9980632199690693,4.419108984144526,True
318,llama13bskinnybf16,hipblaslt,27648,2,5120,bf16,T,N,60.20751,1.999074502545118,9.404657990340409,True
319,llama13bskinny,hipblaslt,5120,16,6912,fp16,T,N,21.91738,15.913433866697364,51.66959189465164,True
320,llama70bskinny,hipblaslt,16000,4,8192,fp16,T,N,58.58092,3.997049053628376,17.89961646215184,True
321,llama70bskinny,hipblaslt,32000,8,8192,fp16,T,N,153.55231,7.990199520900146,27.315147522039883,True
322,llama13bmatvec,hipblaslt,1920,1,5120,fp16,T,N,14.84113,0.999284366664498,1.3247508781339425,True
323,llama13bmatvec,hipblaslt,5120,1,2560,fp16,T,N,9.177760000000001,0.999414405621706,2.8562960896776555,True
324,llama13bskinny,hipblaslt,4000,2,5120,fp16,T,N,16.32525,1.998220335014128,5.017993598872911,True
325,llama13bskinny,hipblaslt,5120,2,13824,fp16,T,N,30.75083,1.9989299709356971,9.206760272812149,True
326,llama70bmemory,hipblaslt,2,7168,8192,bf16,N,T,27.4739,1.9989542301390875,8.549242153462012,True
327,llama70bskinny,hipblaslt,8000,8,8192,fp16,T,N,29.63478,7.98421869274013,35.38328949970272,True
328,llama13bskinnybf16,hipblaslt,3840,16,5120,bf16,T,N,17.47692,15.884177869700103,35.99865422511518,True
329,llama13bskinny,hipblaslt,4000,16,5120,fp16,T,N,17.37007,15.886806503661413,37.729266491154036,True
330,llama13bskinnybf16,hipblaslt,6912,4,5120,bf16,T,N,17.63127,3.9945675730343573,16.057579516393318,True
331,llama70bskinny,hipblaslt,57344,4,8192,fp16,T,N,279.34575,3.9977691020635806,13.453207661115302,True
332,llama70bskinny,hipblaslt,16000,16,8192,fp16,T,N,58.04664,15.952889124304788,72.25748122544216,True
333,llama13bskinnybf16,hipblaslt,6912,8,5120,bf16,T,N,17.72625,7.978299763375079,31.943081023905226,True
334,llama70bskinny,hipblaslt,1280,16,8192,fp16,T,N,10.47191,15.772044666923373,32.042322747235225,True
335,llama13bskinnybf16,hipblaslt,5120,8,1728,bf16,T,N,10.460030000000001,7.950767815034221,13.533207839748068,True
336,llama13bmatvec,hipblaslt,5120,1,6912,fp16,T,N,20.9913,0.9996601271269172,3.3718197538980434,True
337,llama13bskinny,hipblaslt,5120,8,13824,fp16,T,N,31.27324,7.982906970029451,36.21185652653834,True
338,llama70bskinny,hipblaslt,4000,32,8192,fp16,T,N,26.76153,31.623482906642785,78.36442834172784,True
339,llama70bskinnybf16,hipblaslt,8192,8,14336,bf16,T,N,52.502,7.987742025351721,35.790030703592244,True
340,gpt4memory,hipblaslt,2048,16,1024,fp16,N,N,5.88896,15.633587786259541,11.395707221648644,True
341,llama13bskinnybf16,hipblaslt,5120,4,1728,bf16,T,N,10.17508,3.9876539648657223,6.956100590855306,True
342,llama13bskinnybf16,hipblaslt,4000,2,5120,bf16,T,N,16.15903,1.998220335014128,5.069611232852467,True
343,llama70bskinnybf16,hipblaslt,8192,32,7168,bf16,T,N,30.406509999999997,31.73436635307139,123.595124333572,True
344,llama70bskinny,hipblaslt,16000,32,8192,fp16,T,N,55.58895,31.812109726925346,150.90423546406257,True
345,llama13bskinny,hipblaslt,13824,8,5120,fp16,T,N,28.02006,7.982906970029451,40.416119023299736,True
346,llama13bskinny,hipblaslt,5120,4,13824,fp16,T,N,30.632099999999998,3.9957221724426972,18.484891339477215,True
347,llama13bskinny,hipblaslt,5120,2,1280,fp16,T,N,6.482600000000001,1.996101364522417,4.043809582574893,True
348,gpt4memory,hipblaslt,8192,16,1024,fp16,N,N,9.56956,15.723608445297504,28.05097162251974,True
349,llama13bmatvec,hipblaslt,3456,1,5120,fp16,T,N,15.98094,0.9995155704338898,2.2144779969138235,True
350,llama13bskinny,hipblaslt,3456,16,5120,fp16,T,N,16.81204,15.876880670724704,33.680091172754764,True
351,unet,hipblaslt,8192,5120,640,fp16,T,N,114.98911,531.9480519480519,466.88848361379615,True
352,llama70bmatvecbf16,hipblaslt,10240,1,8192,bf16,T,N,46.50618,0.9997803217066562,3.6075239892848647,True
353,llama70bskinnybf16,hipblaslt,28672,4,8192,bf16,T,N,143.73341,3.9974904147786687,13.073148351521057,True
354,llama13bskinny,hipblaslt,5120,16,13824,fp16,T,N,31.05953,15.931773654488879,72.9220358453589,True
355,llama13bskinnybf16,hipblaslt,5120,2,13824,bf16,T,N,30.47776,1.9989299709356971,9.289249603645413,True
356,unet,hipblaslt,2048,10240,1280,fp16,N,T,98.96068,731.4285714285714,542.5093198632023,True
357,llama13bskinny,hipblaslt,5120,32,6912,fp16,T,N,22.427919999999997,31.655598809251202,100.98681286539279,True
358,llama70bmatvecbf16,hipblaslt,8192,1,4096,bf16,T,N,23.520229999999998,0.999633923123856,2.8532401256280235,True
359,llama70bskinny,hipblaslt,57344,2,8192,fp16,T,N,279.07268,1.999442119944212,6.733185749318063,True
360,llama13bskinny,hipblaslt,32000,32,5120,fp16,T,N,100.76536,31.769669893273765,104.06115752476843,True
361,llama13bskinny,hipblaslt,27648,16,5120,fp16,T,N,63.15199,15.940959409594097,71.72930449222582,True
