index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,mean_microseconds,arithmetic_intensity,tflops,ok
123,llama13bskinny,gemm_13824_16_5120_f16_f32_tA,0f19e1570b26b90084e640d18bd4917b,13824,16,5120,f16,T,N,100.0,15.9318,22.6492,True
124,llama13bskinny,gemm_13824_32_5120_f16_f32_tA,dad47f421ddcef626247365008e82357,13824,32,5120,f16,T,N,96.0,31.7283,47.1859,True
125,llama13bskinny,gemm_5120_2_6912_f16_f32_tA,29b21f0d2baf0c43e7695d8da6aaa35c,5120,2,6912,f16,T,N,742.0,1.9986,0.1908,True
126,llama13bskinny,gemm_5120_4_6912_f16_f32_tA,322ae2db285051dff727c74092634ae4,5120,4,6912,f16,T,N,1320.0,3.9946,0.2145,True
127,llama13bskinny,gemm_5120_8_6912_f16_f32_tA,bd556908aab008ab8b5ebeb44b3878d0,5120,8,6912,f16,T,N,2600.0,7.9783,0.2178,True
128,llama13bskinny,gemm_5120_16_6912_f16_f32_tA,2b1b103c45d90ead7bfd858136b5ad90,5120,16,6912,f16,T,N,124.0,15.9134,9.1328,True
129,llama13bskinny,gemm_5120_32_6912_f16_f32_tA,55c699de993884a4b74d7843ff5b827e,5120,32,6912,f16,T,N,124.0,31.6556,18.2655,True
130,llama13bskinny,gemm_8000_2_5120_f16_f32_tA,b63e44a459472909a16b22eb177d56c0,8000,2,5120,f16,T,N,781.0,1.9987,0.2098,True
131,llama13bskinny,gemm_8000_4_5120_f16_f32_tA,055a95b1cc7772268a5481720e2a1cf1,8000,4,5120,f16,T,N,1190.0,3.9949,0.2754,True
132,llama13bskinny,gemm_8000_8_5120_f16_f32_tA,1d937bd73f5a674077cc9c8d00bb4801,8000,8,5120,f16,T,N,1950.0,7.9796,0.3361,True
133,llama13bskinny,gemm_8000_16_5120_f16_f32_tA,055af8f11f41221dfad2f3627ad041dc,8000,16,5120,f16,T,N,103.0,15.9184,12.7254,True
134,llama13bskinny,gemm_8000_32_5120_f16_f32_tA,9f9dfc552dbe0f738e137e8f9f9176ae,8000,32,5120,f16,T,N,103.0,31.6753,25.4509,True
135,llama13bskinny,gemm_3840_2_5120_f16_f32_tA,d5d7ab63bae50c1e90f49696d4b98562,3840,2,5120,f16,T,N,382.0,1.9982,0.2059,True
136,llama13bskinny,gemm_3840_4_5120_f16_f32_tA,9ca65f1e0cd523338e1eae9a853f6058,3840,4,5120,f16,T,N,640.0,3.9927,0.2458,True
137,llama13bskinny,gemm_3840_8_5120_f16_f32_tA,44eb2d140f060f3c608368a1ddb8cff6,3840,8,5120,f16,T,N,1940.0,7.9709,0.1622,True
138,llama13bskinny,gemm_3840_16_5120_f16_f32_tA,e0ab9ccb18a149697720cfc67fde445a,3840,16,5120,f16,T,N,101.0,15.8842,6.2292,True
139,llama13bskinny,gemm_3840_32_5120_f16_f32_tA,f33bcebc9c43fd61f60cbd57f6ed0592,3840,32,5120,f16,T,N,104.0,31.54,12.099,True
140,llama13bskinny,gemm_5120_2_1280_f16_f32_tA,f4f66e91ad755022748865f08d47a8c3,5120,2,1280,f16,T,N,124.0,1.9961,0.2114,True
141,llama13bskinny,gemm_5120_4_1280_f16_f32_tA,b7b554fba3abc7cd0558b38d17e54708,5120,4,1280,f16,T,N,208.0,3.9844,0.2521,True
142,llama13bskinny,gemm_5120_8_1280_f16_f32_tA,9466cdfdc1730761a66f7d78dc9c66f4,5120,8,1280,f16,T,N,514.0,7.938,0.204,True
143,llama13bskinny,gemm_5120_16_1280_f16_f32_tA,c46895b762108b1eeb5a2429a668bef8,5120,16,1280,f16,T,N,66.0,15.7538,3.1775,True
144,llama13bskinny,gemm_5120_32_1280_f16_f32_tA,1f5a87785d372afebfbb030bddcf3230,5120,32,1280,f16,T,N,62.0,31.0303,6.765,True
145,llama13bskinny,gemm_6912_2_5120_f16_f32_tA,a0bbee7b8c8045f6827818c05db37232,6912,2,5120,f16,T,N,713.0,1.9986,0.1985,True
146,llama13bskinny,gemm_6912_4_5120_f16_f32_tA,ea4616fcee7446ef629e0cd8c6f403bb,6912,4,5120,f16,T,N,1210.0,3.9946,0.234,True
147,llama13bskinny,gemm_6912_8_5120_f16_f32_tA,a40b6cf6dc1b6b02b31ac1b204397eb9,6912,8,5120,f16,T,N,1940.0,7.9783,0.2919,True
148,llama13bskinny,gemm_6912_16_5120_f16_f32_tA,4d4526108e3098326ba7eaf76b0d76c3,6912,16,5120,f16,T,N,103.0,15.9134,10.9948,True
149,llama13bskinny,gemm_6912_32_5120_f16_f32_tA,2f62cbc27057f29b7167f44f2bfd1ca7,6912,32,5120,f16,T,N,108.0,31.6556,20.9715,True
150,llama13bskinny,gemm_5120_2_3456_f16_f32_tA,64a7a59c40fe4ea06f5990b5425b67bc,5120,2,3456,f16,T,N,358.0,1.9981,0.1977,True
151,llama13bskinny,gemm_5120_4_3456_f16_f32_tA,a8681c7ec0afe23a137185520ee68bb5,5120,4,3456,f16,T,N,586.0,3.9923,0.2416,True
152,llama13bskinny,gemm_5120_8_3456_f16_f32_tA,cd6709d054b1b43a93aa9773a1c9b2d3,5120,8,3456,f16,T,N,1290.0,7.9691,0.2195,True
153,llama13bskinny,gemm_5120_16_3456_f16_f32_tA,01e45f5401370678dc3fc8fdd9d6fd10,5120,16,3456,f16,T,N,84.0,15.8769,6.7408,True
154,llama13bskinny,gemm_5120_32_3456_f16_f32_tA,5c2592d6e0841d6c14c3fab348c7d1eb,5120,32,3456,f16,T,N,92.0,31.5113,12.3094,True
155,llama13bskinny,gemm_4000_2_5120_f16_f32_tA,25552c00479f99274925b5a745a089db,4000,2,5120,f16,T,N,293.0,1.9982,0.2796,True
156,llama13bskinny,gemm_4000_4_5120_f16_f32_tA,a37b0049cf7fbdf0ad9cebedf5f7fefc,4000,4,5120,f16,T,N,510.0,3.9929,0.3213,True
157,llama13bskinny,gemm_4000_8_5120_f16_f32_tA,5929e74df277aa0510912d83496cfa92,4000,8,5120,f16,T,N,1680.0,7.9716,0.195,True
158,llama13bskinny,gemm_4000_16_5120_f16_f32_tA,98bc4e8fe85e98d6529cfae409e0d103,4000,16,5120,f16,T,N,76.0,15.8868,8.6232,True
159,llama13bskinny,gemm_4000_32_5120_f16_f32_tA,f672f189b75165bd4c98265956378ca9,4000,32,5120,f16,T,N,72.0,31.5504,18.2044,True
160,llama13bskinny,gemm_1920_2_5120_f16_f32_tA,c82b693b2ebf08afa5f033b6ca21e315,1920,2,5120,f16,T,N,171.0,1.9971,0.23,True
