index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
224,sdxl_unet,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,306.00,2048.0,280.7168,True
225,sdxl_unet,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,5.00,63.0154,268.4355,True
226,sdxl_unet,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,57.00,512.0,188.3758,True
227,sdxl_unet,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,5.00,60.2353,134.2177,True
236,bert,attention_12x384x64x64x384xf16,12,384,64,64,384,f16,14.00,192.0,32.3561,True
237,bert,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,9.00,63.0154,76.37,True
240,llama3_405b,attention_512x1024x128x128x1024xf16,512,1024,128,128,1024,f16,839.00,512.0,327.6256,True
241,llama3_405b,attention_512x2048x128x128x2048xf16,512,2048,128,128,2048,f16,2633.00,1024.0,417.5889,True
242,llama3_405b,attention_512x3072x128x128x3072xf16,512,3072,128,128,3072,f16,5633.00,1536.0,439.1800,True
243,llama3_405b,attention_512x4096x128x128x4096xf16,512,4096,128,128,4096,f16,9713.0,2048.0,452.8000,True
244,llama3_405b,attention_512x5120x128x128x5120xf16,512,5120,128,128,5120,f16,15049.0,2560.0,456.6300,True
245,llama3_405b,attention_512x6144x128x128x6144xf16,512,6144,128,128,6144,f16,21423.0,3072.0,461.9100,True
246,llama3_405b,attention_512x7168x128x128x7168xf16,512,7168,128,128,7168,f16,29218.0,3584.0,460.9800,True
247,llama3_405b,attention_512x8192x128x128x8192xf16,512,8192,128,128,8192,f16,37787.0,4096.0,465.5600,True
248,llama3_405b,attention_512x1024x128x128x1024xf8E4M3FNUZ,512,1024,128,128,1024,f8E4M3FNUZ,513.00,1024.0,536.2000,True
249,llama3_405b,attention_512x2048x128x128x2048xf8E4M3FNUZ,512,2048,128,128,2048,f8E4M3FNUZ,1674.00,2048.0,656.8900,True
250,llama3_405b,attention_512x3072x128x128x3072xf8E4M3FNUZ,512,3072,128,128,3072,f8E4M3FNUZ,3574.00,3072.0,692.1500,True
251,llama3_405b,attention_512x4096x128x128x4096xf8E4M3FNUZ,512,4096,128,128,4096,f8E4M3FNUZ,6191.00,4096.0,710.4200,True
252,llama3_405b,attention_512x5120x128x128x5120xf8E4M3FNUZ,512,5120,128,128,5120,f8E4M3FNUZ,9620.00,5120.0,714.3200,True
253,llama3_405b,attention_512x6144x128x128x6144xf8E4M3FNUZ,512,6144,128,128,6144,f8E4M3FNUZ,13649.0,6144.0,724.9900,True
254,llama3_405b,attention_512x7168x128x128x7168xf8E4M3FNUZ,512,7168,128,128,7168,f8E4M3FNUZ,18603.0,7168.0,724.0100,True
255,llama3_405b,attention_512x8192x128x128x8192xf8E4M3FNUZ,512,8192,128,128,8192,f8E4M3FNUZ,24021.0,8192.0,732.3600,True
